Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34850930,Thor,Wayne Smith,"Smith, Wayne",,"=""""","=""""",5,4.33,,Kindle Edition,327,,1992,2024/07/23,2024/07/20,,,read,"One of my first books I've owned since I was a kid, probably read this one 15+ times in the past. It's been a while since last time but after all these years it still managed to keep me hooked. <br/>",,,1,0
13612739,"Seduced in the Dark (The Dark Duet, #2)",C.J. Roberts,"Roberts, C.J.",,"=""""","=""""",0,4.27,Neurotica Books,Kindle Edition,505,2012,2012,2024/07/21,2024/07/21,,,read,,,,1,0
12513614,"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,"Roberts, C.J.",,"=""""","=""""",0,3.93,CJ Roberts,Nook,276,2011,2011,2024/07/17,2024/07/17,,,read,,,,1,0
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,"=""006267644X""","=""9780062676443""",0,4.01,HarperCollins,ebook,450,2020,2020,,2024/03/12,to-read,to-read (#31),to-read,,,,1,0
62621489,The Birdcage Library,Freya Berry,"Berry, Freya",,"=""1472276353""","=""9781472276353""",0,3.78,Headline Review,Hardcover,400,2023,2023,,2023/10/19,to-read,to-read (#30),to-read,,,,1,0
210134467,"The Songbird & the Heart of Stone (Crowns of Nyaxia, #3)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.04,Bramble Romance,Kindle Edition,498,2024,2024,,2024/07/15,to-read,to-read (#29),to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",5,4.36,Entangled: Red Tower Books,Hardcover,623,2023,2023,2024/07/13,2024/06/23,,,read,,,,1,0
178858474,Driving My Obsession (Ride or Die Romances),Lauren Biel,"Biel, Lauren",,"=""""","=""""",0,3.60,Lauren Biel,Kindle Edition,312,2023,,2024/07/08,2024/07/08,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",4,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2024/06/23,2023/08/23,,,read,,,,1,0
43514655,"Reveal Me (Shatter Me, #5.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",3,3.96,Storytide,Kindle Edition,112,2019,2019,2024/03/12,2024/02/25,,,read,,,,1,0
